pair_id,overall,title_cos,title_ne,key,text_cos,text_ne,title_key
1484084337_1484110209,4,0.2724751532077789,,0.16666666666666666,0.06417263315038342,0.1111111111111111,0.0
1484396422_1483924666,4,0.561432421207428,,-1.0,0.02177422125698962,0.0,0.0
1484698254_1483758694,2,0.44692903757095337,,-1.0,0.2922464437390565,0.3,0.0
1576314516_1576455088,2,0.6091364622116089,,0.5,0.4137521043404529,0.2631578947368421,0.0
1484036253_1483894099,1,0.6344524025917053,,0.5,0.5098179976865087,0.7777777777777778,1.0
1484189120_1484113136,2,0.5207051634788513,,-1.0,0.3577997516807665,0.4074074074074074,0.0
1484034982_1483785560,4,0.4149574935436249,,0.0,0.06163473735520945,0.0,0.0
1484188439_1484378177,3,0.6076333522796631,,0.0,0.03417475399974342,0.07692307692307693,0.0
1484011751_1483920335,4,0.7921048402786255,,-1.0,0.16815497114919364,0.4444444444444444,0.6666666666666666
1484035244_1483938857,3,0.379768043756485,,-1.0,0.08639938084820331,0.16666666666666666,0.0
1484396075_1483794933,3,0.5544601678848267,,0.1,0.0,0.0,0.0
1484188343_1484127315,4,0.4783985912799835,,0.3333333333333333,0.06822159505363208,0.2631578947368421,0.0
1484009938_1484201603,4,0.3103727996349335,,0.0,0.006032058963242328,0.0,0.0
1484190223_1484354411,4,0.4026951193809509,,0.0,0.08382534524689099,0.15384615384615385,0.0
1483805613_1484204537,4,0.07264300435781479,,-1.0,0.058209963585624976,0.0,0.0
1484702073_1484760850,4,0.4730650782585144,,0.0,0.07218782151645319,0.35,0.0
1484084344_1484110209,4,0.336299866437912,,0.4,0.0,0.0,0.0
1484033615_1483970348,2,0.5798747539520264,,0.0,0.0971263887933748,0.2,0.0
1484190366_1483842785,4,0.5527127981185913,,0.0,0.011382695990251471,0.0,0.0
1484035749_1484140713,1,0.6988011598587036,,-1.0,0.4307271619260126,0.5454545454545454,0.0
1484190154_1484161410,4,0.3027375638484955,,-1.0,0.03205004464885682,0.2222222222222222,0.0
1484038841_1484350501,4,0.41386935114860535,,0.0,0.0,0.0,0.0
1484037160_1484286023,4,0.16450680792331696,,-1.0,0.0,0.0,0.0
1484012619_1485042131,1,0.7960348725318909,,0.0,0.5057071375252934,0.6,0.0
1484189390_1484049687,4,0.2583779692649841,,-1.0,0.030990076518872468,0.0,0.0
1484395760_1484217880,1,0.7552325129508972,,0.0,0.6867107927942305,0.3,0.0
1483803221_1484182545,4,0.27128106355667114,,0.0,0.03982180599465896,0.0,0.0
1484013322_1484227004,4,0.2496493756771088,,0.0,0.01713709832487599,0.0,0.0
1484012348_1484255820,1,0.7333740592002869,,0.25,0.4591167979493079,0.5333333333333333,1.0
