pair_id,overall,title_cos,title_ne,key,text_cos,text_ne
1484084337_1484110209,4,0.2724751532077789,0.0,0.16666666666666666,0.06417263315038342,0.1111111111111111
1576314516_1576455088,2,0.6091364622116089,0.0,0.5,0.4137521043404529,0.2631578947368421
1484036253_1483894099,1,0.6344524025917053,1.0,0.5,0.5098179976865087,0.7777777777777778
1484034982_1483785560,4,0.4149574935436249,0.0,0.0,0.06163473735520945,0.0
1484188439_1484378177,3,0.6076333522796631,0.0,0.0,0.03417475399974342,0.07692307692307693
1484188343_1484127315,4,0.4783985912799835,0.0,0.3333333333333333,0.06822159505363208,0.2631578947368421
1484009938_1484201603,4,0.3103727996349335,0.0,0.0,0.006032058963242328,0.0
1484190223_1484354411,4,0.4026951193809509,0.0,0.0,0.08382534524689099,0.15384615384615385
1484702073_1484760850,4,0.4730650782585144,0.0,0.0,0.07218782151645319,0.35
1484033615_1483970348,2,0.5798747539520264,0.0,0.0,0.0971263887933748,0.2
1484190366_1483842785,4,0.5527127981185913,0.0,0.0,0.011382695990251471,0.0
1484038841_1484350501,4,0.41386935114860535,0.0,0.0,0.0,0.0
1484012619_1485042131,1,0.7960348725318909,0.0,0.0,0.5057071375252934,0.6
1484395760_1484217880,1,0.7552325129508972,0.0,0.0,0.6867107927942305,0.3
1483803221_1484182545,4,0.27128106355667114,0.0,0.0,0.03982180599465896,0.0
1484013322_1484227004,4,0.2496493756771088,0.0,0.0,0.01713709832487599,0.0
1484012348_1484255820,1,0.7333740592002869,1.0,0.25,0.4591167979493079,0.5333333333333333
1484033248_1484265431,4,0.33731380105018616,0.0,0.0,0.02235813761180428,0.2
1484011141_1484931264,3,0.22992266714572904,0.0,0.0,0.31271908493442674,0.2
1484012251_1483995404,4,0.3768925666809082,0.0,0.0,0.01443785547576841,0.0
1483806109_1484307854,4,0.19735492765903476,0.0,0.0,0.026290553239222948,0.0
1484008387_1484164543,1,0.7329385280609131,0.0,0.0,0.496884273650027,0.42857142857142855
1484188859_1483828027,4,0.2528297305107117,0.0,0.25,0.018290218655549664,0.2857142857142857
1484701886_1483995327,1,0.4661646485328674,0.0,0.6666666666666666,0.4911534821041509,0.4375
1484012307_1483858039,2,0.5473234653472899,0.0,0.0,0.38479299444266063,0.6363636363636364
1484759177_1483971785,4,0.2753303647041321,0.0,0.0,0.03628489659710795,0.0
1484037350_1484183400,1,0.6515873670578003,0.0,0.0,0.5369604285141993,0.5454545454545454
1484188814_1484188819,3,0.699144721031189,1.0,1.0,0.4369381071629575,0.4666666666666667
1484189099_1484230590,3,0.3762142062187195,0.0,0.0,0.1221932829093317,0.5
1484190749_1484026894,4,0.21349036693573,0.0,0.0,0.0811516265391405,0.0
1484010434_1484050658,2,0.5980730056762695,0.5,0.6666666666666666,0.6369111215637959,0.4375
1484037285_1484231118,4,0.31990501284599304,0.0,0.0,0.04431790712576125,0.0
1484396961_1484113101,4,0.07339227199554442,0.0,0.0,0.023452470530793745,0.0
1484034739_1483971502,2,0.6122267842292786,0.5,0.0,0.34794838339712136,0.5217391304347826
1483806234_1484051122,2,0.6496077179908752,0.0,0.42857142857142855,0.2796384483788631,0.3636363636363637
1484395033_1483776272,4,0.3259104788303375,0.0,0.0,0.17294779990946815,0.09090909090909093
1484399055_1484221739,1,0.38268008828163147,1.0,0.0,0.4323648421275442,0.5263157894736842
1484010782_1484238046,4,0.2601112723350525,0.0,0.0,0.011388064188157885,0.0
1484759960_1483798636,4,0.33106493949890137,0.0,0.0,0.0935797901863028,0.14285714285714285
1484395970_1484153333,4,0.15624913573265076,0.0,0.0,0.039243447715752035,0.1
1484010809_1484223087,3,0.6673256158828735,0.0,0.0,0.2829415849725496,0.15789473684210525
1484188243_1483769841,2,0.6549417972564697,0.0,0.0,0.2268041213991692,0.2727272727272727
1484036056_1484018268,4,0.2620883584022522,0.0,0.0,0.08112857530939467,0.0
1484699181_1483919695,2,0.4602720737457275,1.0,0.0,0.661243190253123,0.3076923076923077
1484188422_1484187925,3,0.5786725878715515,0.0,1.0,0.3740961077384571,0.2380952380952381
1484109922_1484070585,4,0.4481809735298157,0.0,0.0,0.13596742966825925,0.5
1484188579_1483915172,1,0.8525116443634033,0.6666666666666666,0.0,0.5608433086102599,0.5
1484034507_1483929758,3,0.6654001474380493,0.0,0.0,0.36599379390099335,0.2307692307692308
1484201854_1484199265,1,0.7663693428039551,0.0,0.6,0.388677426895958,0.6153846153846154
1484188524_1484648268,4,0.2317367643117905,0.0,0.0,0.02251007469022576,0.0
1484182697_1483892444,3,0.5675757527351379,0.0,0.0,0.2678821318771704,0.0
1484012380_1484134546,3,0.605057954788208,0.0,0.0,0.15360647144598782,0.25
1484452805_1484452810,3,0.4787411689758301,0.0,1.0,0.2521534535446637,0.3333333333333333
1484164333_1484109924,4,0.4880699515342712,0.0,0.0,0.0649381145980945,0.3636363636363637
1484455033_1483944796,4,0.5512665510177612,0.0,0.0,0.016967585342162125,0.0
